kepid,orbital_period,transit_duration_hr,transit_depth_ppm,planet_radius_earth,stellar_temp_k,stellar_radius_solar,stellar_mass_solar,impact_parameter,equilibrium_temp,signal_to_noise,target,source,tid,stellar_density,duration_over_period,depth_per_planet_radius,target_id,exominer_score
,5.742625,2.860293,1105.760867,13.088532,5664.0,3.86959,,,,,0,TESS,112395568.0,,0.0207533791837837,6.454748649587323,112395568.0,0.246
,2.160344,1.828854,19357.992992,22.503541,5780.0,1.2,,,,,1,TESS,7088246.0,,0.035273201180128395,38.22597798717692,7088246.0,0.946
,4.606184,3.121643,13793.034867,12.962219,5670.0,1.07,,,,,1,TESS,201604954.0,,0.028237790144023504,82.09205398560536,201604954.0,0.345
,3.180362,2.111521,21192.463324,13.446487,5498.0,0.92,,,,,1,TESS,6663331.0,,0.027663530288067704,117.20975689749292,6663331.0,0.993
,2.9776446,2.962,13022.0,14.4339,5703.0,1.22,,,1461.0,,1,TESS,31858843.0,,0.04144774864659038,62.50435885044627,31858843.0,0.539
,3.5544026,2.0550535,10164.8753396,13.200677,5639.0,1.11499,,,1214.9876435,,1,TESS,120247528.0,,0.02409046970731371,58.33237311578273,120247528.0,0.986
,0.6047392,1.0403847,1027.6833479,1.8625587,4046.0,0.580337,,,1222.5973095,,1,TESS,351601843.0,,0.07168273449648939,296.23696985384186,351601843.0,0.963
,0.5182425,0.8565249,831.8920424,1.3485121,3325.0,0.390989,,,1019.3295979,,1,TESS,370133522.0,,0.06886454628990077,457.46411879778,370133522.0,0.995
,8.34998,1.836,16680.0,11.1424,4236.0,0.74,,,588.0,,1,TESS,254113311.0,,0.009161698545177661,134.35027279705295,254113311.0,0.991
,8.34998,1.836,16680.0,11.1424,4236.0,0.74,,,588.0,,1,TESS,254113311.0,,0.009161698545177661,134.35027279705295,254113311.0,0.991
,8.34998,1.836,16680.0,11.1424,4236.0,0.74,,,588.0,,1,TESS,254113311.0,,0.009161698545177661,134.35027279705295,254113311.0,0.991
,8.34998,1.836,16680.0,11.1424,4236.0,0.74,,,588.0,,1,TESS,254113311.0,,0.009161698545177661,134.35027279705295,254113311.0,0.991
,4.0686405,1.8373729,2650.0950013,3.7548333,4236.0,0.741921,,,772.378302,,1,TESS,254113311.0,,0.018816408916602398,187.9663423554004,254113311.0,0.991
,4.0686405,1.8373729,2650.0950013,3.7548333,4236.0,0.741921,,,772.378302,,1,TESS,254113311.0,,0.018816408916602398,187.9663423554004,254113311.0,0.991
,4.0686405,1.8373729,2650.0950013,3.7548333,4236.0,0.741921,,,772.378302,,1,TESS,254113311.0,,0.018816408916602398,187.9663423554004,254113311.0,0.991
,4.0686405,1.8373729,2650.0950013,3.7548333,4236.0,0.741921,,,772.378302,,1,TESS,254113311.0,,0.018816408916602398,187.9663423554004,254113311.0,0.991
,18.6922101,7.765,11126.0,18.1458,6277.0,1.65,,,1141.0,,0,TESS,122220263.0,,0.01730890377406267,33.78989284951766,122220263.0,0.435
,18.6922101,7.765,11126.0,18.1458,6277.0,1.65,,,1141.0,,0,TESS,122220263.0,,0.01730890377406267,33.78989284951766,122220263.0,0.414
,18.6922101,7.765,11126.0,18.1458,6277.0,1.65,,,1141.0,,0,TESS,122220263.0,,0.01730890377406267,33.78989284951766,122220263.0,0.371
,18.6922101,7.765,11126.0,18.1458,6277.0,1.65,,,1141.0,,0,TESS,122220263.0,,0.01730890377406267,33.78989284951766,122220263.0,0.246
,18.6922101,7.765,11126.0,18.1458,6277.0,1.65,,,1141.0,,0,TESS,122220263.0,,0.01730890377406267,33.78989284951766,122220263.0,0.153
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.993
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.991
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.988
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.988
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.983
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.98
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.944
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.933
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.926
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.926
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.895
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.862
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.853
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.685
,8.0277326,4.284,5705.0,9.06883,5962.7,1.15,,,1106.0,,1,TESS,154872375.0,,0.0222354191360988,69.36703342154877,154872375.0,0.646
